property_type,city,baths,area,bedrooms,price
2,4,5,6,6,9000000
2,4,7,10,5,19500000
2,4,7,10,5,19000000
2,4,5,6,6,9000000
2,4,5,10,4,23000000
2,4,5,10,4,29000000
2,4,3,5,3,4950000
2,4,7,9,6,16000000
2,4,0,3,0,8500000
2,4,4,15.2,4,45000000
2,4,4,15,5,35000000
2,4,5,6,6,9000000
2,4,2,5,4,11500000
2,4,4,5,3,13500000
2,4,3,5,5,12000000
2,4,4,5,5,6500000
2,4,4,3,2,4500000
2,4,4,5,4,9200000
2,4,6,10,5,18000000
2,4,5,10,5,20000000
2,4,4,4,3,8000000
2,4,4,10,5,16500000
3,2,2,5.9,2,20500000
3,2,3,8.7,3,27000000
3,2,1,5.8,1,27000000
3,2,1,5.8,1,27000000
3,2,1,5.8,1,27000000
3,2,3,9.1,2,37000000
3,2,3,9.1,2,37000000
3,2,3,9.1,2,37000000
3,2,4,10.9,3,47000000
3,2,4,10.9,3,47000000
3,2,4,10.9,3,47000000
3,2,4,10.9,3,47000000
3,2,5,11.8,4,50000000
3,2,5,11.8,4,50000000
3,2,5,11.8,4,50000000
3,2,5,11.8,4,50000000
3,2,5,19.1,4,107700000
3,2,0,1.2,1,1800000
3,2,2,4.7,2,10300000
3,2,3,6.5,3,14000000
3,2,2,4.7,2,10300000
3,2,3,6.5,3,14000000
3,2,3,6.5,3,14000000
3,2,2,5.8,2,4666000
3,2,4,9.8,3,7960000
2,2,3,5,3,6642000
1,2,4,12,3,14500000
2,2,5,11,4,12500000
2,2,3,5,3,6642000
2,2,4,11,3,9205000
2,2,5,11,4,12500000
5,2,4,10.4,3,12300000
5,2,5,15.9,4,18700000
2,2,3,4.8,3,7500000
3,2,3,6.3,2,6422000
3,2,4,9.6,3,9743000
2,2,5,11,4,12500000
3,2,4,13.8,4,66000000
3,2,2,4.2,2,4800000
2,2,3,14,3,14500000
2,2,0,14,0,95000000
1,2,3,8.6,3,9500000
2,2,3,4.8,3,10000000
3,2,3,5.8,2,4666000
3,2,5,12.5,4,10100000
3,2,2,5.7,2,4090000
3,2,4,6.7,3,4797000
3,2,4,7.1,3,5136000
2,2,3,5,3,6642000
2,2,4,11,3,9205000
2,2,5,11,4,12500000
2,2,4,4.8,4,16500000
3,2,1,8.1,2,2120000
2,0,3,3,4,8500000
2,0,4,10,6,22000000
3,0,3,7.1,3,9500000
2,0,3,4,5,4200000
2,0,6,10.9,6,35000000
2,0,4,6.7,4,14000000
2,0,3,5,2,4300000
2,0,7,16,7,36000000
2,0,0,4,0,4700000
2,0,4,6,5,16500000
2,0,3,4,2,4500000
3,0,2,6.3,2,6500000
2,0,5,5,5,4700000
2,0,6,7,4,14000000
2,0,10,11,9,42000000
2,0,4,19,3,22500000
2,0,3,3,4,2300000
3,0,2,6.1,2,8800000
2,0,2,4,2,4800000
2,0,3,14.2,4,50000000
2,0,7,10,7,38000000
3,0,0,5.9,2,3500000
2,0,0,11,0,17000000
2,0,4,3,3,5200000
2,0,4,10,4,12500000
2,0,0,14,3,52000000
3,0,2,5.8,2,10000000
2,0,5,5,4,21000000
2,0,4,5,3,13500000
3,0,2,3.3,2,3300000
2,0,3,4,2,2700000
2,0,5,5,4,12500000
3,0,4,13,3,11500000
2,0,3,8,2,17500000
2,0,4,6,3,16900000
2,0,5,10,6,22000000
2,0,5,10,6,21900000
2,0,5,10,5,22000000
3,0,2,4.9,3,7800000
3,0,2,4.2,1,3900000
2,0,2,4,2,3000000
2,0,3,4,2,5200000
2,0,5,7,5,14000000
2,0,2,5,3,3500000
2,0,1,4,2,2600000
2,0,6,5.5,4,9700000
2,3,2,3,3,5000000
2,3,6,10,4,14500000
2,3,2,5,3,6500000
2,1,6,10,5,15500000
2,1,8,10,6,16000000
3,1,3,4.7,3,7500000
3,1,2,4,2,6000000
3,1,1,2.9,1,3800000
3,1,1,1.8,1,2700000
2,1,5,7,5,12500000
2,1,6,11,6,35000000
2,1,8,5,6,6200000
2,1,6,10,5,18000000
2,1,5,7.6,6,9000000
2,1,4,5,4,5800000
2,1,7,6.7,5,9700000
2,1,3,10,3,17500000
2,1,6,10,5,22500000
2,1,5,6,5,42500000
2,1,4,6.5,4,11000000
2,1,2,11.5,4,32500000
2,4,0,4,0,7000000
2,4,5,6,6,9000000
2,4,6,5,5,12500000
2,4,4,3.5,3,6900000
2,4,2,2,3,3500000
3,4,1,2.4,1,2000000
2,4,0,5,0,11000000
2,4,2,2.5,4,4700000
2,4,6,10,5,21000000
2,4,5,7,7,12000000
3,4,3,10,3,11700000
2,4,4,5,6,6000000
2,4,4,10,3,20500000
2,4,4,5,3,12000000
2,4,2,5,4,4600000
2,4,4,14,4,32500000
2,4,3,4,5,9000000
2,4,2,8,5,13500000
2,4,8,17,8,32500000
2,4,2,1.5,2,2300000
2,4,3,6,4,8000000
2,4,0,3.5,0,7300000
2,4,7,10,5,19800000
2,4,6,5,5,12500000
2,4,4,14,3,37000000
2,4,0,5,0,6000000
2,4,3,5,5,9800000
2,4,0,5,0,6000000
2,4,2,5.2,2,8900000
2,4,4,5,3,10500000
0,4,0,5,1,5000000
2,4,5,5,5,15000000
2,4,3,5,5,8700000
2,4,3,4.5,3,9500000
2,4,0,8,0,8500000
2,4,3,4.5,3,9500000
2,4,5,10,5,24500000
2,4,3,4,3,6000000
2,4,4,7.5,4,18000000
2,4,3,6,2,9000000
2,4,3,4,3,9500000
2,4,3,10,2,12500000
2,4,5,6,5,9900000
2,4,3,3,6,3200000
2,4,6,7,6,7200000
2,4,3,4,3,4000000
2,4,2,3,2,5000000
2,4,4,5.2,4,12000000
2,4,5,5,3,12500000
2,4,5,10,4,22000000
2,4,0,14,0,16000000
2,4,0,7,4,13000000
2,4,4,10,5,21500000
2,4,6,8,5,13800000
2,4,2,2.5,2,5000000
2,4,5,3.5,4,7500000
2,4,8,7.5,5,18000000
2,4,0,7,0,23500000
2,4,0,8,0,8000000
2,4,5,5,4,10000000
2,4,3,5,4,9150000
2,4,3,4,3,7500000
3,4,2,3,2,2500000
2,4,5,4,4,12000000
2,4,4,4,3,10000000
2,4,3,3,2,4700000
2,4,5,3,3,5200000
2,4,4,10,5,19500000
2,4,5,10,4,21800000
2,4,4,10,5,15000000
2,4,1,3,2,5500000
2,4,3,12,3,7500000
2,4,3,5,3,11500000
2,4,7,10,6,25500000
2,4,4,5,5,8500000
2,4,6,10,5,30000000
2,4,5,9,4,18000000
2,4,0,3,0,6500000
2,4,4,5,3,12000000
2,4,3,5,3,12500000
3,4,1,2.8,1,5000000
2,3,5,3,5,5000000
2,3,3,5,2,6800000
2,3,4,5,3,10500000
2,3,4,5,4,8000000
2,3,4,3.5,4,6500000
2,3,6,5,3,7200000
2,3,5,10,4,14000000
2,3,2,5,3,4000000
3,1,2,3,2,2600000
2,1,8,12,8,14800000
2,1,4,16,4,22500000
2,2,3,5,3,6642000
0,2,2,8,2,15000000
3,2,3,6,3,8500000
3,2,3,4.7,3,12000000
2,2,4,10,4,70000000
2,2,0,15.3,0,78000000
2,2,3,6,3,10000000
3,2,0,4.2,0,7500000
2,2,3,9.6,3,12000000
2,2,0,3.6,0,9900000
2,2,3,8,3,20000000
2,2,5,4,4,32500000
3,2,2,3.2,3,4000000
2,2,7,8,7,45000000
2,2,6,4.8,6,13500000
3,2,0,2.6,0,4000000
2,2,3,3.4,3,4000000
2,2,6,5,6,14000000
2,2,3,4.8,2,9800000
0,2,2,4.8,3,8500000
2,2,0,16,0,40000000
1,2,0,6.8,0,6000000
5,2,3,8,3,11800000
2,2,3,4.8,3,3500000
2,2,3,16,3,38500000
2,2,0,8,0,35000000
2,2,4,4.8,6,12000000
3,2,3,6.2,3,6850000
3,2,0,5.6,0,9500000
3,2,3,5.3,3,5200000
2,2,3,5.1,7,6000000
3,2,0,7.1,3,9200000
3,2,3,5.4,3,7500000
3,2,2,4,2,6000000
3,2,2,7.1,3,4000000
3,2,3,6,3,10000000
3,2,1,2,2,2100000
3,2,2,4.2,2,3800000
3,2,0,5.8,3,6000000
3,2,2,3.6,2,2700000
0,2,1,1.8,2,2000000
3,2,3,10,3,30000000
1,2,0,6,0,6500000
3,2,3,8.2,3,26000000
2,2,1,3.6,3,10000000
3,2,0,5.6,2,8500000
3,2,3,5.3,3,7000000
3,2,2,5.2,2,3763000
3,2,2,3.2,3,2700000
3,2,3,8.3,3,12500000
2,2,3,8,3,23000000
0,2,0,4.8,4,4600000
3,2,4,8.9,4,9300000
3,2,3,6,3,6500000
3,2,0,4,4,4800000
3,2,2,4.5,3,6000000
3,2,0,2.9,2,2500000
3,0,1,1.6,1,1800000
3,0,0,8,0,17500000
2,0,2,5,4,14500000
2,0,6,7.3,6,13000000
2,0,4,8,3,7500000
3,0,1,2.6,1,5000000
2,0,2,7,2,14200000
2,0,5,11,3,13500000
2,0,2,9.7,2,19700000
2,0,3,15.9,3,25600000
2,0,2,5,2,4300000
2,0,6,7,4,8500000
2,0,6,8,4,11500000
3,0,0,9.1,3,9500000
3,0,0,8.9,3,12900000
3,0,0,4,2,10500000
2,0,6,10,5,21000000
2,0,6,10,5,23000000
2,0,6,10,5,23500000
2,0,2,5,3,3800000
2,0,3,5,4,9000000
2,0,5,10,6,22000000
3,0,2,4,2,9500000
3,0,4,11.6,3,62500000
2,0,0,3,6,5000000
2,0,5,6,4,14000000
3,0,3,12.4,3,18500000
2,0,5,6,4,14000000
2,0,6,16,6,52000000
2,0,5,6,4,13000000
2,0,3,4.4,3,6300000
3,0,3,10,3,16500000
2,1,4,5,5,7500000
2,1,4,7,4,8500000
2,1,6,7,4,8500000
2,1,0,5,0,5500000
2,1,6,6,6,8500000
2,1,1,2.5,2,1700000
2,1,0,5,0,5500000
2,1,2,5,8,3000000
2,1,4,7,4,10500000
2,1,5,5,4,8600000
2,1,5,11,4,13500000
2,1,5,11,4,14000000
2,1,5,10,4,12500000
2,1,5,11,5,42500000
2,1,3,6,2,6500000
2,1,5,7,6,12600000
2,1,0,7,0,10500000
2,1,2,10,2,12500000
2,1,5,10,4,12000000
2,1,7,13,6,27500000
2,1,3,6,0,8500000
2,1,0,10,0,9000000
2,1,5,7,5,13000000
3,1,0,4.7,2,6000000
2,1,8,10,8,11000000
2,1,4,7,4,12000000
2,1,5,10,4,11000000
2,1,4,7,5,14500000
2,1,2,5,2,3800000
2,1,3,5,3,6000000
2,1,6,12,6,13500000
2,4,4,10,4,16500000
2,4,3,4,2,6000000
